School_Year,Busbreakdown_ID,Run_Type,Bus_No,Route_Number,Schools_Serviced,Occurred_On,Town
2015,1227538,Special Ed AM Run,2621,J711,75003,2015-11-05T08:10:00.000,New Jersey
2015,1227539,Special Ed AM Run,1260,M351,6716,2015-11-05T08:10:00.000,Manhattan
2015,1227540,Pre-K/EI,418,3,C445,2015-11-05T08:09:00.000,Bronx
2015,1227541,Special Ed AM Run,4522,M271,2699,2015-11-05T08:12:00.000,Manhattan
2015,1227542,Special Ed AM Run,3124,M373,2116,2015-11-05T08:13:00.000,Manhattan
2015,1227543,Special Ed AM Run,HT1502,W796,75407,2015-11-05T07:58:00.000,Westchester
2015,1227544,Special Ed AM Run,142,W633,75670,2015-11-05T08:24:00.000,Westchester
2015,1227545,Special Ed AM Run,1417,M678,3417,2015-11-05T08:15:00.000,Manhattan
2015,1227546,Special Ed AM Run,56102,M126,1450,2015-11-05T07:55:00.000,Manhattan
2015,1227547,Special Ed AM Run,1344,M922,2930,2015-11-05T08:16:00.000,Manhattan
2015,1227551,Special Ed AM Run,1358,M490,3004,2015-11-05T08:19:00.000,Manhattan
2015,1227553,Pre-K/EI,899,10,C601,2015-11-05T08:19:00.000,Bronx
2015,1227554,Special Ed AM Run,600,P877,24008,2015-11-05T08:18:00.000,Brooklyn
2015,1227555,Special Ed AM Run,GT1482,U901,75661,2015-11-05T08:01:00.000,Rockland County
2015,1227556,Special Ed AM Run,855,N588,75911,2015-11-05T08:20:00.000,Nassau County
2015,1227557,Special Ed AM Run,EL 1005,W991,75716,2015-11-05T08:22:00.000,Westchester
2015,1227558,Special Ed AM Run,2052,L524,17246,2015-11-05T08:22:00.000,
2015,1227560,Special Ed AM Run,1205,P662,29059,2015-11-05T06:45:00.000,
2015,1227561,Special Ed AM Run,2508,L531,13009,2015-11-05T08:25:00.000,Bronx
2015,1227564,Pre-K/EI,340,8,C353,2015-11-05T08:28:00.000,Bronx
